id,kind,primary_phase,work_package
M01,core,G1,truthful-transmission-contract
M02,core,G3,native-ic-integration
M03,core,G3,tabulated-ic-compatibility
M04,core,G2,transmission-kl-deprecation
M05,core,G2,transmission-kl-resolution-deprecation
M06,core,G4,response-aware-f3
M07,core,G4,f3-udr-native-ic
M08,core,G4,f3-r4-compatibility
M09,core,G2,f4-deprecation
M10,core,G2,f4-resolution-deprecation
M11,core,G4,paired-open-beam-f5
M12,core,G4,f5-resolution-coverage
M13,core,G1,f6-explicit-rejection
M14,core,G3,spatial-transmission-operator
M15,core,G3,spatial-ic-parity
M16,core,G2,s2-deprecation
M17,core,G2,s2-resolution-deprecation
M18,core,G4,s3-averaged-ob-diagnostic
M19,core,G4,s3-resolution-provenance
M20,core,G2,s4-deprecation
M21,core,G2,s4-resolution-deprecation
M22,core,G4,paired-spatial-open-beam
M23,core,G4,s5-resolution-coverage
M24,core,G1,s6-explicit-rejection
M25,core,G4,sammy-b1-transmission
M26,core,G2,b1-f2-s2-deprecation
M27,core,G4,b1-response-aware-f3
M28,core,G4,b1-averaged-ob-s3
M29,core,G2,b1-f4-s4-deprecation
M30,core,G4,b1-paired-counts
M31,core,G4,experimental-df-transmission
M32,core,G2,df-f2-s2-deprecation
M33,core,G1,df-counts-rejection
M34,core,G2,df-f4-s4-deprecation
M35,core,G4,baseline-transmission
M36,core,G2,baseline-f2-s2-deprecation
M37,core,G4,baseline-response-aware-f3
M38,core,G4,baseline-averaged-ob-s3
M39,core,G2,baseline-f4-s4-deprecation
M40,core,G4,baseline-paired-counts
M41,core,G4,combined-transmission-background
M42,core,G2,combined-f2-s2-deprecation
M43,core,G4,combined-response-aware-f3
M44,core,G2,combined-f4-s4-deprecation
M45,core,G4,combined-paired-counts
M46,core,G4,alpha-fit-preflight-and-model
M47,core,G1,remove-silent-alpha-fallback
M48,core,G4,b5-single-paired-contract
M49,core,G2,isolate-fixed-flux-research
M50,core,G5,c1-gaussian-control
M51,core,G5,c1-profiled-background
M52,core,G5,c2-checksummed-udr
M53,core,G5,c2-profiled-background
M54,core,G5,c3-identifiable-ic
M55,core,G5,c3-profiled-background
M56,core,G1,s5-all-failed-safety
M57,core,G1,f1-b5-ignored-config
M58,core,G2,f2-b5-deprecation
M59,core,G1,s1-b5-ignored-config
M60,core,G2,s2-b5-deprecation
M61,core,G4,combined-averaged-ob-s3
X01,surface,G6,rust-resolved-route
X02,surface,G6,python-resolved-route
X03,surface,G2,solver-alias-deprecation
X04,surface,G5,ic-artifact-handoff
X05,surface,G4,b5-public-contract
X06,surface,G2,mcp-count-default-migration
X07,surface,G1,mcp-strict-domain-solver
X08,surface,G6,mcp-spatial-parity
X09,surface,G1,mcp-generated-strict-schema
X10,surface,G1,mcp-result-truthfulness
X11,surface,G6,gui-explicit-domain-objective
X12,surface,G1,gui-raw-hdf5-safety
X13,surface,G1,single-exposure-source
X14,surface,G6,gui-effective-arm-overlay
X15,surface,G6,gui-mcp-calibration-artifacts
X16,surface,G1,typed-gof-and-status
X17,surface,G6,versioned-default-profile
CL-01,cleanup,G1,input-variant-documentation
CL-02,cleanup,G1,solver-data-contract-honesty
CL-03,cleanup,G9,remove-f4-s4
CL-04,cleanup,G9,remove-f2-s2
CL-05,cleanup,G4,detector-background-contract
CL-06,cleanup,G4,paired-ob-documentation
CL-07,cleanup,G2,fixed-flux-research-isolation
CL-08,cleanup,G5,calibration-background-alignment
CL-09,cleanup,G4,separate-response-arms
CL-10,cleanup,G3,typed-resolution-union
CL-11,cleanup,G4,averaged-ob-diagnostic
CL-12,cleanup,G2,paired-ob-vs-known-flux
CL-13,cleanup,G1,remove-lm-nuisance-claim
CL-14,cleanup,G2,production-vs-research-jacobian
CL-15,cleanup,G1,result-layout-truthfulness
CL-16,cleanup,G1,polish-default-documentation
CL-17,cleanup,G2,mcp-hidden-default-deprecation
CL-18,cleanup,G3,all-family-working-grid
CL-19,cleanup,G3,native-tabulated-capability
CL-20,cleanup,G4,sammy-selective-controls
CL-21,cleanup,G5,identifiability-gates
CL-22,cleanup,G1,df-start-validation
CL-23,cleanup,G9,remove-transmission-kl-df
CL-24,cleanup,G5,energy-scale-pin-prior
CL-25,cleanup,G1,shared-boundary-validation
CL-26,cleanup,G3,resolution-family-integration
CL-27,cleanup,G5,count-aligned-calibration
CL-28,cleanup,G5,profiled-nuisance-results
CL-29,cleanup,G5,energy-scale-transfer
CL-30,cleanup,G5,calibration-diagnostics
CL-31,cleanup,G8,parity-preserving-performance
CL-32,cleanup,G3,udr-flight-path-provenance
CL-33,cleanup,G3,ic-family-coordinate-contract
CL-34,cleanup,G5,resolution-artifact-persistence
CL-35,cleanup,G3,kernel-validity-range
CL-36,cleanup,G1,notebook-api-truthfulness
CL-37,cleanup,G3,gaussian-family-label
CL-38,cleanup,G5,space-filling-restarts
CL-39,cleanup,G1,block-gui-raw-hdf5
CL-40,cleanup,G1,collapse-exposure-ratio
CL-41,cleanup,G7,real-effective-arm-overlay
CL-42,cleanup,G2,mcp-count-default-deprecation
CL-43,cleanup,G1,strict-mcp-enums
CL-44,cleanup,G1,remove-mcp-silent-allowlist
CL-45,cleanup,G5,calibration-surface-persistence
CL-46,cleanup,G1,typed-gof
CL-47,cleanup,G1,mcp-execution-convergence
CL-48,cleanup,G1,spatial-status-counters
CL-49,cleanup,G1,typed-calibration-errors
CL-50,cleanup,G1,reject-incompatible-counts-config
